fast,slow,rr,sl_buffer_pips,trades,final_equity,total_return_%,max_drawdown_%,win_rate_%,profit_factor,avg_R
60,250,2.0,5.0,532,206483.4104879213,106.48341048792132,-17.855629669154695,38.90977443609023,1.176019841933397,0.1470105379465608
50,150,2.0,5.0,791,140500.7895234663,40.500789523466295,-30.947227961979394,35.77749683944374,1.0521054597353172,0.053274250052361305
60,300,2.0,5.0,456,136393.14641428398,36.393146414283976,-21.01758847117359,36.622807017543856,1.090662011998723,0.07846470284561247
40,300,2.0,5.0,527,135299.10943584866,35.29910943584866,-19.143043875300304,36.24288425047438,1.085345634392585,0.0677206350923459
30,300,2.0,5.0,612,126495.99076590587,26.495990765905873,-19.95103570008052,35.62091503267974,1.0580216864714018,0.04865812310510768
50,250,2.0,5.0,564,120471.4884058213,20.471488405821315,-32.80689704142014,35.46099290780142,1.0455493257499366,0.04326200942708945
30,150,2.0,5.0,909,116039.12666561635,16.039126665616354,-39.39971929991219,34.87348734873487,1.0206116151525124,0.02652458191464956
40,150,2.0,5.0,856,112681.78329878341,12.681783298783422,-32.21966677541229,34.81308411214953,1.0192038838172865,0.024098864354786257
40,100,2.0,5.0,1177,111650.35523154939,11.65035523154938,-52.43724896536642,34.66440101954121,1.0175806450836251,0.019492347501420492
40,200,2.0,5.0,693,99944.22444195874,-0.05577555804126,-39.585261524338996,34.34343434343434,0.9998978786107537,0.010000542926022487
40,250,2.0,5.0,609,99806.60038147669,-0.19339961852331555,-41.50096733554356,34.31855500821018,0.9995351399705765,0.009764215036754974
20,150,2.0,5.0,1056,99167.56185565388,-0.8324381443461148,-47.960449789119394,34.28030303030303,0.998999521477437,0.009279898059860285
60,200,2.0,5.0,626,88935.13068639801,-11.064869313601989,-33.850238944908696,33.70607028753994,0.9755081492404489,-0.008742515451106447
30,200,2.0,5.0,777,87274.3336727242,-12.725666327275798,-39.77202743725847,33.71943371943372,0.9748112985621149,-0.007533549119560126
50,300,2.0,5.0,498,81185.78401070138,-18.81421598929862,-35.51414326770785,32.93172690763052,0.9473131901799702,-0.031975799107864696
20,200,2.0,5.0,882,79745.80252595653,-20.254197474043465,-43.24914961398585,33.44671201814059,0.9619853707117094,-0.01571092696176235
20,250,2.0,5.0,783,74840.39987411113,-25.159600125888872,-54.36076936971255,33.077905491698594,0.9557948492082559,-0.027110875902066758
60,100,2.0,5.0,1169,70709.45245854072,-29.290547541459276,-51.13996434441059,33.361847733105215,0.9473616263046457,-0.01971311426168341
50,200,2.0,5.0,661,67877.34397957372,-32.12265602042628,-50.14165559638568,32.37518910741301,0.932459369356767,-0.048808139027488665
60,150,2.0,5.0,773,64881.10544123345,-35.118894558766556,-46.81508065618382,32.470892626131956,0.9284256021543752,-0.046149483778227515
20,300,2.0,5.0,742,62473.67090830936,-37.526329091690634,-54.34696644978351,32.21024258760108,0.913387009356337,-0.0536163119793055
30,250,2.0,5.0,680,61662.82616034581,-38.33717383965419,-48.33646916993948,31.91176470588235,0.9108655580692611,-0.06136608100508181
30,100,2.0,5.0,1246,43715.52180872993,-56.28447819127007,-73.03621858745043,32.102728731942214,0.9117970259976884,-0.056645029490256266
50,100,2.0,5.0,1171,37128.58037235476,-62.87141962764524,-68.33823510782366,31.511528608027326,0.8964485968837345,-0.07492435680125717
20,100,2.0,5.0,1401,31408.16410900787,-68.59183589099214,-77.94166166642803,31.548893647394717,0.8913857064725175,-0.0729737786671186
