iter,hold_bars,trades,final_equity,total_return_%,favourable
1,1,669,73668.45780527689,-26.331542194723113,False
2,2,669,59471.57043157161,-40.52842956842839,False
3,3,665,42544.1756888464,-57.45582431115359,False
4,4,665,32706.743353133566,-67.29325664686642,False
5,5,663,29322.1668192585,-70.6778331807415,False
6,6,661,25067.647953588177,-74.93235204641182,False
7,7,658,16829.542742312307,-83.17045725768769,False
8,8,658,12848.042690530623,-87.15195730946938,False
9,9,656,18054.369319928726,-81.94563068007128,False
10,10,652,14980.117260945804,-85.0198827390542,False
11,11,648,22012.76976082598,-77.98723023917402,False
12,12,645,19965.965215405697,-80.0340347845943,False
13,13,645,37468.3343798781,-62.5316656201219,False
14,14,644,44365.98790163063,-55.63401209836938,False
15,15,643,23175.222715518146,-76.82477728448185,False
16,16,640,25020.471333468708,-74.9795286665313,False
17,17,638,30661.65345385353,-69.33834654614647,False
18,18,637,59296.58431400317,-40.70341568599682,False
19,19,634,60676.13401557864,-39.32386598442136,False
20,20,631,74042.80506249957,-25.95719493750044,False
21,21,630,53738.45229697617,-46.26154770302383,False
22,22,630,51962.71574908836,-48.03728425091164,False
23,23,629,75863.08112569105,-24.136918874308943,False
24,24,628,73638.68294075539,-26.361317059244616,False
25,25,625,100004.35030384576,0.004350303845757075,True
26,26,623,96005.58204843107,-3.9944179515689293,False
27,27,621,76645.9369318958,-23.354063068104193,False
28,28,620,65354.348855584125,-34.64565114441588,False
29,29,618,64247.53805045525,-35.752461949544745,False
30,30,616,45590.783409724616,-54.40921659027538,False
31,31,614,65252.32723318335,-34.74767276681665,False
32,32,611,69608.03014098632,-30.391969859013678,False
33,33,606,72098.62213114671,-27.901377868853295,False
34,34,602,52334.74237951073,-47.665257620489264,False
35,35,597,37083.93922066469,-62.91606077933531,False
36,36,596,23539.447455320507,-76.4605525446795,False
37,37,589,31309.81910137279,-68.69018089862722,False
38,38,585,45130.02830504624,-54.869971694953755,False
39,39,583,31065.555122708745,-68.93444487729126,False
40,40,579,16301.246721264572,-83.69875327873542,False
41,41,577,10699.084019315018,-89.30091598068498,False
42,42,574,11619.124102356953,-88.38087589764305,False
43,43,571,24509.876626373338,-75.49012337362666,False
44,44,568,33104.3864936324,-66.8956135063676,False
45,45,563,27017.466219518737,-72.98253378048126,False
46,46,562,19151.697402845748,-80.84830259715426,False
47,47,559,18853.252854326,-81.146747145674,False
48,48,552,31126.128238661277,-68.87387176133872,False
49,49,552,27071.43008567885,-72.92856991432114,False
50,50,551,31376.826765140577,-68.62317323485942,False
