iter,attempt,entry_params,exit_params,trades,final_equity,net_profit_abs,total_return_%,max_drawdown_%,max_drawdown_abs_%,avg_bars_held,long_trade_pct,short_trade_pct,commission_sum,win_rate_%,avg_profit_per_trade,avg_mfe,avg_mae,avg_mfe_R,avg_mae_R,avg_giveback,wins,losses,equity_years,cagr_%,sortino,mar,favourable
1,1,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 1.0}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",93,85258.66321783098,-14741.336782169019,-14.741336782169023,-16.1527660695562,16.1527660695562,66.91397849462365,46.236559139784944,53.76344086021505,1270.820617653345,37.634408602150536,-158.50899765773107,0.005370860215053778,-0.005523333333333327,1.2834529145124391,-1.3766952769254246,0.6558482174341584,35,58,1.987565594341775,-7.710433468113964,-1.0005952622890513,-0.47734446440391054,False
2,2,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 1.25}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",90,83328.22242934947,-16671.777570650534,-16.671777570650537,-18.154206609260072,18.154206609260072,67.38888888888889,46.666666666666664,53.333333333333336,1212.3943183887754,36.666666666666664,-185.24197300722813,0.005322555555555568,-0.005621888888888885,1.2751698690406459,-1.3880429909022995,0.6640345205405042,33,57,1.987565594341775,-8.76776956067198,-1.1742242435959334,-0.4829607676823358,False
3,3,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 1.5}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",87,84854.77662462446,-15145.223375375543,-15.145223375375538,-16.913601480683948,16.913601480683948,68.4367816091954,45.97701149425287,54.02298850574713,1143.66070098405,36.7816091954023,-174.08302730316655,0.005362183908045987,-0.005703793103448273,1.2370634181016242,-1.394384530985887,0.6586009217464657,32,55,1.987565594341775,-7.93065718086633,-1.0626377053018308,-0.4688922811574742,False
4,4,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 1.75}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",88,87176.504004806,-12823.495995193996,-12.823495995194001,-16.419152547878845,16.419152547878845,66.9090909090909,46.590909090909086,53.40909090909091,1219.5139867857508,37.5,-145.72154539993156,0.00526147727272728,-0.005581590909090906,1.2674498496116986,-1.3905789009367937,0.6535324083173228,33,55,1.987565594341775,-6.671713794833711,-0.8651642150765105,-0.40633728052521295,False
5,5,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 2.0}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",83,88289.31680236383,-11710.683197636172,-11.710683197636174,-14.678811073011211,14.678811073011211,70.32530120481928,48.19277108433735,51.80722891566265,1119.0907161879998,37.34939759036144,-141.09256864621878,0.005443614457831332,-0.005694939759036142,1.2726356609390663,-1.3871913817556272,0.6522273908902568,31,52,1.987565594341775,-6.074205762608942,-0.8029038471241197,-0.4138077486246221,False
6,6,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 2.25}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",82,87098.74648444903,-12901.253515550969,-12.90125351555097,-14.928563889967794,14.928563889967794,70.98780487804878,48.78048780487805,51.21951219512195,1103.1134063785648,36.58536585365854,-157.33235994574318,0.0054175609756097615,-0.0057529268292682905,1.2705816490141368,-1.4019289934314936,0.6601323409370349,30,52,1.987565594341775,-6.713605789900523,-0.9046897201756897,-0.449715447472624,False
7,7,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 2.5}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",77,82052.08762725958,-17947.912372740422,-17.947912372740426,-18.638282206786293,18.638282206786293,71.97402597402598,48.05194805194805,51.94805194805194,1005.4783232415178,33.76623376623377,-233.08977107455033,0.005249220779220783,-0.005934545454545452,1.2283382397526788,-1.443213678880021,0.6790130055052844,26,51,1.987565594341775,-9.473425784404554,-1.3687840226309214,-0.5082778380163828,False
8,8,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 2.75}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",76,81073.98679435664,-18926.013205643365,-18.926013205643365,-18.926013205643365,18.926013205643365,72.69736842105263,48.68421052631579,51.31578947368421,978.4597887024637,32.89473684210527,-249.02648954793895,0.005258289473684215,-0.005981578947368419,1.2239550200934357,-1.4510981747826006,0.6857996574636306,25,51,1.987565594341775,-10.017979274892596,-1.4599013508033705,-0.5293232740588721,False
9,9,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 3.0}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",73,82577.95997743102,-17422.04002256898,-17.422040022568986,-17.422040022568986,17.422040022568986,75.64383561643835,47.94520547945205,52.054794520547944,942.1966554335193,32.87671232876712,-238.6580825009447,0.005394246575342469,-0.00602164383561644,1.2562470402165438,-1.4644664856151846,0.6809200270479696,24,49,1.987565594341775,-9.181981544677642,-1.3483267837885784,-0.5270325135737866,False
10,10,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 3.25}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",70,86611.09551942226,-13388.904480577738,-13.388904480577734,-13.917009927019496,13.917009927019496,80.3,48.57142857142857,51.42857142857142,894.4659969194015,34.285714285714285,-191.27006400825303,0.00573657142857143,-0.006041142857142862,1.2993336003396805,-1.4339631969786852,0.6709487778932186,24,46,1.987565594341775,-6.976753365455613,-1.018150978687165,-0.5013112300732384,False
