iter,attempt,entry_params,exit_params,trades,final_equity,net_profit_abs,total_return_%,max_drawdown_%,max_drawdown_abs_%,avg_bars_held,long_trade_pct,short_trade_pct,commission_sum,win_rate_%,avg_profit_per_trade,avg_mfe,avg_mae,avg_mfe_R,avg_mae_R,avg_giveback,wins,losses,equity_years,cagr_%,sortino,mar,favourable
1,1,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.0, 'liq_move_away_atr': 2.0}]","{'atr_period': 14, 'rr': 1.0, 'sldist_atr_mult': 1.0}",122,84409.36181615466,-15590.638183845338,-15.59063818384534,-17.849424855661077,17.849424855661077,2.5245901639344264,46.72131147540984,53.278688524590166,4085.8313560038255,45.90163934426229,-127.79211626102752,0.0013671311475409946,-0.0016330327868852314,0.8534534868415043,-1.0184059597180515,0.6679056423131682,56,66,1.987565594341775,-8.174129392237306,-1.6110481375577577,-0.4579491753004479,False
2,2,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.0, 'liq_move_away_atr': 2.5}]","{'atr_period': 14, 'rr': 1.0, 'sldist_atr_mult': 1.0}",115,85748.51039553022,-14251.489604469782,-14.25148960446978,-16.546111767723815,16.546111767723815,2.608695652173913,47.82608695652174,52.17391304347826,3780.3702638029854,46.08695652173913,-123.925996560607,0.0014042608695652302,-0.0016738260869565086,0.8593952263990388,-1.0299517166758367,0.6671968700870468,53,62,1.987565594341775,-7.444033199419042,-1.5080317149996805,-0.44989622359133197,False
3,3,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.0, 'liq_move_away_atr': 3.0}]","{'atr_period': 14, 'rr': 1.0, 'sldist_atr_mult': 1.0}",102,87282.25776964343,-12717.742230356569,-12.717742230356565,-16.29990463531128,16.29990463531128,2.8529411764705883,47.05882352941176,52.94117647058824,3305.2127244415083,46.07843137254902,-124.6837473564374,0.0014608823529411925,-0.0017085294117646943,0.879115203925409,-1.0491000532674384,0.6649640994261711,47,55,1.987565594341775,-6.614768560826489,-1.4165144703700254,-0.4058163964037307,False
4,4,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.0, 'liq_move_away_atr': 3.5}]","{'atr_period': 14, 'rr': 1.0, 'sldist_atr_mult': 1.0}",100,85669.89374211211,-14330.106257887892,-14.330106257887888,-18.46744483216437,18.46744483216437,2.86,47.0,53.0,3142.3601492839125,45.0,-143.30106257887778,0.0014456000000000158,-0.0016980999999999845,0.8673086973107235,-1.0592354061633875,0.6725272520015219,45,55,1.987565594341775,-7.486737329003324,-1.617910937482815,-0.40540190573434537,False
5,5,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.0, 'liq_move_away_atr': 4.0}]","{'atr_period': 14, 'rr': 1.0, 'sldist_atr_mult': 1.0}",90,86272.64499670919,-13727.35500329081,-13.727355003290809,-17.08323189893387,17.08323189893387,2.933333333333333,46.666666666666664,53.333333333333336,2795.251721872797,44.44444444444444,-152.52616670323155,0.0014681111111111268,-0.0017385555555555444,0.8440351389631768,-1.0544438626749237,0.6734391900258992,40,50,1.987565594341775,-7.159821989715443,-1.6258400249332299,-0.41911401964649747,False
6,6,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.0, 'liq_move_away_atr': 4.5}]","{'atr_period': 14, 'rr': 1.0, 'sldist_atr_mult': 1.0}",86,81506.3810099247,-18493.618990075294,-18.49361899007529,-19.82633326242865,19.82633326242865,2.953488372093023,47.674418604651166,52.32558139534884,2552.811554609891,40.69767441860465,-215.04208127994517,0.0014204651162790858,-0.0018698837209302236,0.7874541759269138,-1.1118444968649908,0.6905971280039362,35,51,1.987565594341775,-9.776845343022945,-2.2545385068162953,-0.49312423097165864,False
7,7,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.0, 'liq_move_away_atr': 5.0}]","{'atr_period': 14, 'rr': 1.0, 'sldist_atr_mult': 1.0}",83,82445.6015046023,-17554.398495397705,-17.554398495397706,-18.9024700016588,18.9024700016588,2.9036144578313254,45.78313253012048,54.21686746987952,2484.26739462686,40.963855421686745,-211.49877705298383,0.0014062650602409763,-0.0018696385542168606,0.7761832547896237,-1.106386948201356,0.6929485311115791,34,49,1.987565594341775,-9.255249013756028,-2.1706435032928164,-0.48963172606245786,False
8,8,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.0, 'liq_move_away_atr': 5.5}]","{'atr_period': 14, 'rr': 1.0, 'sldist_atr_mult': 1.0}",73,83088.05827173556,-16911.941728264443,-16.911941728264445,-18.30214973585632,18.30214973585632,2.863013698630137,43.83561643835616,56.16438356164384,2007.4705503817772,39.726027397260275,-231.670434633759,0.001470684931506854,-0.001953561643835612,0.7665745918623332,-1.102395908374096,0.7010741606132838,29,44,1.987565594341775,-8.900159261844177,-2.2107459557986737,-0.4862903751906036,False
9,9,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.25, 'liq_move_away_atr': 2.0}]","{'atr_period': 14, 'rr': 1.0, 'sldist_atr_mult': 1.0}",97,86680.57432478288,-13319.42567521712,-13.319425675217122,-17.32843664169862,17.32843664169862,2.7628865979381443,45.36082474226804,54.63917525773196,3128.2074645468715,45.36082474226804,-137.31366675481456,0.001433195876288668,-0.001742371134020606,0.8480378499832664,-1.0621927826733466,0.6591805248154665,44,53,1.987565594341775,-6.939216128053349,-1.5242414579036339,-0.4004525204169332,False
10,10,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.25, 'liq_move_away_atr': 2.5}]","{'atr_period': 14, 'rr': 1.0, 'sldist_atr_mult': 1.0}",93,88806.61498858329,-11193.385011416714,-11.193385011416712,-15.300726202435321,15.300726202435321,2.838709677419355,47.31182795698925,52.68817204301075,2903.784966275921,46.236559139784944,-120.35897861738403,0.0014906451612903325,-0.0017765591397849334,0.8636279644547942,-1.0471474321967886,0.6541052407359051,43,50,1.987565594341775,-5.797724679486748,-1.2997722696661858,-0.37891826850440347,False
