iter,attempt,entry_params,exit_params,trades,final_equity,total_return_%,max_drawdown_%,win_rate_%,profit_factor,avg_R,favourable
1,1,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 1.0}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 2.0}",202,74775.48483043352,-25.224515169566487,-34.5434469441962,35.64356435643564,0.7590128196985505,-0.13665516478693038,False
2,2,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 1.5}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 2.0}",184,70298.02298182539,-29.70197701817462,-34.49743639007836,33.69565217391305,0.6946795926093955,-0.1843909026150474,False
3,3,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 2.0}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 2.0}",162,65424.52297274511,-34.5754770272549,-36.43071829888781,30.864197530864196,0.6106674294783937,-0.2549056493287569,False
4,4,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 2.5}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 2.0}",144,62984.20624559277,-37.01579375440722,-37.01579375440722,28.47222222222222,0.5538432130257153,-0.3141756398482841,False
5,5,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 3.0}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 2.0}",125,67656.09287162912,-32.34390712837087,-32.34390712837087,28.799999999999997,0.5668976484446773,-0.30570909856731376,False
6,6,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 3.5}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 2.0}",110,77104.43597445545,-22.895564025544545,-23.00745165373813,31.818181818181817,0.6531710926674874,-0.2293327644759073,False
7,7,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 4.0}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 2.0}",96,80680.6617691263,-19.319338230873704,-20.27442496795392,32.29166666666667,0.6730519654062032,-0.21655210266622746,False
8,8,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 4.5}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 2.0}",88,81298.7558825017,-18.701244117498295,-19.416759662126438,31.818181818181817,0.6573356554520239,-0.22823622430265356,False
9,9,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 5.0}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 2.0}",83,90059.30777672035,-9.940692223279646,-10.733309944832781,36.144578313253014,0.8044056072228806,-0.11888167386746797,False
10,10,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 5.5}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 2.0}",73,90332.43837461615,-9.667561625383847,-11.168754778409163,35.61643835616438,0.7860483221819392,-0.1320480444444904,False
