iter,attempt,entry_params,exit_params,trades,final_equity,total_return_%,max_drawdown_%,win_rate_%,profit_factor,avg_R,favourable
1,1,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 1.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",209,94755.42210905909,-5.244577890940915,-21.049465923651955,40.66985645933015,0.9525017729881794,-0.018253588516834455,False
2,2,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 1.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",191,91289.97166766402,-8.710028332335973,-19.055060475353457,39.79057591623037,0.9170075965884633,-0.04023560209432846,False
3,3,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 2.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",165,86506.8541728292,-13.493145827170794,-18.621838307243898,38.18181818181819,0.8558737654654759,-0.08045454545463218,False
4,4,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 2.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",145,89449.00711501426,-10.550992884985744,-14.63067621561277,38.62068965517241,0.8776288996614691,-0.06948275862077666,False
5,5,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 3.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",123,81307.29018555832,-18.692709814441677,-19.687504718328373,34.959349593495936,0.7501110983248976,-0.16101626016268664,False
6,6,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 3.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",104,89668.52240447426,-10.33147759552574,-14.821115303028499,37.5,0.8396701474172169,-0.09750000000008639,False
7,7,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 4.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",95,96044.10672069737,-3.955893279302636,-13.214714267027638,40.0,0.9313443427898691,-0.035000000000087704,False
8,8,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 4.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",86,95454.7485269541,-4.545251473045897,-14.28586799239866,39.53488372093023,0.9145482241106307,-0.04662790697683168,False
9,9,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 5.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",80,104169.93533424317,4.169935334243169,-9.709036675307258,43.75,1.0867764023994277,0.05874999999991032,False
10,10,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 5.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",70,104613.46373608749,4.613463736087486,-7.221187540008245,44.285714285714285,1.1111761617258753,0.07214285714276714,False
11,11,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.6, 'liq_move_away_atr': 1.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",204,97355.68008583318,-2.644319914166815,-21.998437647075665,41.17647058823529,0.9761390086650809,-0.00558823529420598,False
12,12,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.6, 'liq_move_away_atr': 1.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",193,91668.67647565587,-8.331323524344125,-23.467260769634603,39.89637305699482,0.9210657108310354,-0.037590673575217184,False
13,13,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.6, 'liq_move_away_atr': 2.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",173,92450.94088433491,-7.5490591156650915,-18.70156441195561,39.884393063583815,0.9231215751528026,-0.03789017341049228,False
14,14,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.6, 'liq_move_away_atr': 2.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",153,98010.13134274716,-1.9898686572528357,-12.835712725391835,41.17647058823529,0.9781651451447115,-0.005588235294205987,False
15,15,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.6, 'liq_move_away_atr': 3.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",134,93062.28530147517,-6.937714698524822,-15.757783063632068,39.55223880597015,0.9122522259530896,-0.04619402985083375,False
16,16,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.6, 'liq_move_away_atr': 3.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",120,99891.15048055627,-0.10884951944373222,-12.650348429029235,41.66666666666667,0.9984713043079755,0.006666666666578049,False
17,17,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.6, 'liq_move_away_atr': 4.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",107,103496.89369307089,3.4968936930708905,-10.813746843084783,42.99065420560748,1.0551382683637536,0.03976635514009764,False
18,18,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.6, 'liq_move_away_atr': 4.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",98,97855.41656687313,-2.1445834331268676,-10.813746843084783,40.816326530612244,0.9640208157887694,-0.014591836734782015,False
19,19,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.6, 'liq_move_away_atr': 5.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",93,103080.54951286822,3.0805495128682248,-8.938529128457152,43.01075268817204,1.0552407635015986,0.04026881720421178,False
20,20,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.6, 'liq_move_away_atr': 5.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",80,101603.28832950658,1.6032883295065803,-7.986186155163033,42.5,1.033759450476253,0.027499999999910936,False
21,21,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.8, 'liq_move_away_atr': 1.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",169,80936.12438816059,-19.06387561183941,-25.344823683612283,36.68639053254438,0.7932272672962,-0.11784023668647646,False
22,22,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.8, 'liq_move_away_atr': 1.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",153,78299.55517682628,-21.700444823173715,-26.109457866145615,35.294117647058826,0.7447801958739995,-0.15264705882361462,False
23,23,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.8, 'liq_move_away_atr': 2.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",141,78308.08315207696,-21.691916847923043,-24.3871710184436,34.751773049645394,0.7276070820691853,-0.1662056737589501,False
24,24,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.8, 'liq_move_away_atr': 2.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",126,84933.35235885439,-15.066647641145615,-19.310411499977665,36.507936507936506,0.7955628892405467,-0.12230158730167308,False
25,25,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.8, 'liq_move_away_atr': 3.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",112,84591.68503244568,-15.408314967554325,-19.14762236696843,35.714285714285715,0.7651771846117347,-0.14214285714294256,False
26,26,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.8, 'liq_move_away_atr': 3.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",107,86913.03191559529,-13.086968084404715,-17.7886747570978,36.44859813084112,0.7912319347529368,-0.12378504672905775,False
27,27,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.8, 'liq_move_away_atr': 4.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",97,89487.98274135246,-10.512017258647543,-17.096145113212778,37.11340206185567,0.8166335439315445,-0.10716494845369441,False
