iter,attempt,entry_params,exit_params,trades,final_equity,net_profit_abs,total_return_%,max_drawdown_%,max_drawdown_abs_%,avg_bars_held,long_trade_pct,short_trade_pct,commission_sum,win_rate_%,avg_profit_per_trade,avg_mfe,avg_mae,avg_mfe_R,avg_mae_R,avg_giveback,wins,losses,equity_years,cagr_%,sortino,mar,favourable
1,1,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 1.0}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",67,122726.5515898931,22726.551589893104,22.726551589893095,-8.003086809073901,8.003086809073901,77.32835820895522,49.25373134328358,50.74626865671642,1088.0040199800903,44.776119402985074,339.2022625357182,0.00683731343283583,-0.0043567164179104485,1.838493506147685,-1.0585611958359749,0.6130744844672016,30,37,1.987565594341775,10.853004838060997,2.4724880021434954,1.3561023511272998,True
2,2,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 1.5}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",65,125544.5300142935,25544.5300142935,25.54453001429351,-8.59356865596107,8.59356865596107,75.4,49.23076923076923,50.76923076923077,1072.6772401536539,44.61538461538462,392.9927694506685,0.006739538461538471,-0.004469692307692307,1.814830778951663,-1.1010847601944482,0.6093053094863203,29,36,1.987565594341775,12.126416347272674,2.748705911273096,1.4111036791288083,True
3,3,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 2.0}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",62,127011.73429103257,27011.734291032568,27.011734291032564,-6.598317560531375,6.598317560531375,77.2741935483871,51.61290322580645,48.38709677419355,1041.2614490917144,45.16129032258064,435.67313372633134,0.006766129032258071,-0.004486451612903225,1.8628510671186316,-1.1038126936361579,0.6053384703541809,28,34,1.987565594341775,12.78380744036709,2.942064067277017,1.9374344024960184,True
4,4,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 2.5}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",56,117785.76055374686,17785.760553746863,17.785760553746854,-6.598317560531375,6.598317560531375,80.32142857142857,51.78571428571429,48.214285714285715,899.0216957444221,41.07142857142857,317.60286703119306,0.006656964285714289,-0.00467714285714286,1.8649829842925953,-1.1348663513647226,0.6351380360398903,23,33,1.987565594341775,8.584735307448543,2.074415427217809,1.3010491278563439,True
5,5,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 3.0}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",53,109959.7672332538,9959.767233253806,9.959767233253803,-6.520694842991393,6.520694842991393,85.30188679245283,49.056603773584904,50.943396226415096,789.8810555420234,37.735849056603776,187.92013647648693,0.006795660377358496,-0.0049528301886792485,1.8467143339591792,-1.1886600687592983,0.6660268375101579,20,33,1.987565594341775,4.89285041153833,1.2533917801775636,0.7503572133569919,True
6,6,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 3.5}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",51,110426.23181050053,10426.231810500525,10.42623181050053,-5.937827056722355,5.937827056722355,95.07843137254902,49.01960784313725,50.98039215686274,738.8531067700314,37.254901960784316,204.43591785295143,0.007320588235294127,-0.0050176470588235295,1.9181949526166266,-1.1275091350940971,0.671314527551917,19,32,1.987565594341775,5.116491860677463,1.3441140089893042,0.8616774809709153,True
7,7,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 4.0}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",47,121469.13843881221,21469.13843881221,21.46913843881222,-4.816980282478567,4.816980282478567,101.29787234042553,51.06382978723404,48.93617021276596,646.2993836196047,42.5531914893617,456.79017954919533,0.007998510638297889,-0.0050942553191489414,2.014116690046614,-1.0511027802845545,0.6208971052895789,20,27,1.987565594341775,10.280109639023172,2.749744250542312,2.1341398627717787,True
8,8,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 4.5}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",46,114036.82685740203,14036.826857402033,14.03682685740204,-6.341456289336644,6.341456289336644,103.08695652173913,50.0,50.0,676.0901527700577,36.95652173913043,305.1484099435234,0.00787282608695655,-0.005255,1.964264830925185,-1.1721868310298649,0.666141855210497,17,29,1.987565594341775,6.831912234227433,1.826003093752513,1.077341216672187,True
9,9,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 5.0}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",44,118092.02747699482,18092.027476994816,18.092027476994808,-7.339072356430199,7.339072356430199,107.95454545454545,52.27272727272727,47.72727272727273,613.3754258455243,38.63636363636363,411.18244265897283,0.008245227272727302,-0.005356818181818182,2.0353878716691827,-1.1186848832724023,0.647116056011967,17,27,1.987565594341775,8.726698035830704,2.347795129173878,1.1890737155881457,True
10,10,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 5.5}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",40,121640.65430867024,21640.654308670244,21.640654308670236,-6.414365281275314,6.414365281275314,106.65,52.5,47.5,564.620331369665,37.5,541.0163577167557,0.008290250000000027,-0.0053967500000000005,2.2886764781914817,-1.1180750603009766,0.6665138617496738,15,25,1.987565594341775,10.358427679061254,2.8493501589740977,1.6148796061395767,True
11,11,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.6, 'liq_move_away_atr': 1.0}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",55,116452.8044337926,16452.804433792597,16.4528044337926,-7.226848263002649,7.226848263002649,65.16363636363636,49.09090909090909,50.90909090909091,862.8825198034375,41.81818181818181,299.1418987962281,0.0064798181818181855,-0.004576181818181821,1.7494620123240856,-1.1344731440219042,0.6300583273320333,23,32,1.987565594341775,7.964728300794999,1.927304386430479,1.1021026055811736,True
12,12,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.6, 'liq_move_away_atr': 1.5}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",56,121618.31043669161,21618.31043669161,21.6183104366916,-7.963473961490264,7.963473961490264,64.05357142857143,50.0,50.0,946.925637041426,42.857142857142854,386.04125779806526,0.00648303571428572,-0.004516964285714286,1.8043116984294219,-1.1344135356594904,0.6200275316639557,24,32,1.987565594341775,10.348228069649945,2.4661333380908586,1.299461531448695,True
13,13,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.6, 'liq_move_away_atr': 2.0}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",58,119746.22484316649,19746.224843166492,19.74622484316648,-7.990961509870198,7.990961509870198,75.27586206896552,51.724137931034484,48.275862068965516,1075.8288600739495,41.37931034482759,340.452152468388,0.006467758620689658,-0.004410344827586207,1.928945982695002,-1.145382984278554,0.6349365691159234,24,34,1.987565594341775,9.490319268145742,2.2174044222630958,1.187631708202271,True
