iter,attempt,entry_params,exit_params,trades,final_equity,net_profit_abs,total_return_%,max_drawdown_%,max_drawdown_abs_%,avg_bars_held,long_trade_pct,short_trade_pct,commission_sum,win_rate_%,avg_profit_per_trade,avg_mfe,avg_mae,avg_mfe_R,avg_mae_R,avg_giveback,wins,losses,equity_years,cagr_%,sortino,mar,davey_return_worse,davey_maxdd_worse,davey_both_worse,favourable
1,1,"[{'long_ratio': 0.52, 'side': 'both', 'target_entries': 63, 'seed': 1}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",63,86530.58368096924,-13469.416319030759,-13.469416319030758,-18.020935860483746,18.020935860483746,1.2222222222222223,52.38095238095239,47.61904761904761,7258.24221417072,38.095238095238095,-213.80025903223415,0.0010660317460317549,-0.0010215873015873046,1.7490634690981153,-2.0994181054679264,0.7511322948205089,24,39,1.987565594341775,-7.02027012673253,-1.5539638436145804,-0.3895619062784945,True,True,True,True
2,2,"[{'long_ratio': 0.52, 'side': 'both', 'target_entries': 63, 'seed': 2}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",61,77869.84444172173,-22130.155558278275,-22.130155558278275,-24.924751731168605,24.924751731168605,0.9672131147540983,52.459016393442624,47.540983606557376,8804.075690676715,32.78688524590164,-362.7894353816111,0.0008152459016393342,-0.0009029508196721314,2.0984101390340784,-2.1357723325889624,0.8205099827863106,20,41,1.987565594341775,-11.825125254267977,-2.578267959545315,-0.4744330207101145,True,True,True,True
3,3,"[{'long_ratio': 0.52, 'side': 'both', 'target_entries': 63, 'seed': 3}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",63,72011.72947005057,-27988.270529949426,-27.98827052994942,-30.151213859793636,30.151213859793636,1.5396825396825398,52.38095238095239,47.61904761904761,7520.643886414981,26.984126984126984,-444.2582623801491,0.0010555555555555557,-0.0011012698412698413,2.0340915606676835,-1.6040305698346162,0.8531279552780472,17,46,1.987565594341775,-15.227386789983266,-3.325319278140624,-0.505033955209639,True,True,True,True
4,4,"[{'long_ratio': 0.52, 'side': 'both', 'target_entries': 63, 'seed': 4}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",62,66879.83638266032,-33120.163617339684,-33.120163617339685,-35.90367641989173,35.90367641989173,1.3387096774193548,51.61290322580645,48.38709677419355,13856.089828783339,29.03225806451613,-534.1961873764465,0.0010533870967741896,-0.0010029032258064429,4.530413444370977,-2.9365579395149397,0.8423956742231622,18,44,1.987565594341775,-18.322748350753837,-2.7928664643153676,-0.5103307008583242,True,True,True,True
5,5,"[{'long_ratio': 0.52, 'side': 'both', 'target_entries': 63, 'seed': 5}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",63,74390.2859362355,-25609.714063764506,-25.60971406376451,-26.628759076589514,26.628759076589514,1.873015873015873,52.38095238095239,47.61904761904761,8862.719462944833,30.158730158730158,-406.50339783753174,0.00094269841269841,-0.00091492063492063,2.069960517073834,-1.7641915541093767,0.8043356231406252,19,44,1.987565594341775,-13.829976683492484,-2.8929765543518804,-0.5193624172915745,True,True,True,True
6,6,"[{'long_ratio': 0.52, 'side': 'both', 'target_entries': 63, 'seed': 6}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",63,73023.07653863952,-26976.92346136048,-26.97692346136048,-27.779374851895,27.779374851895,1.1428571428571428,52.38095238095239,47.61904761904761,7626.764822469807,28.57142857142857,-428.2051343073092,0.0009801587301587191,-0.0009973015873015864,2.6056146660530177,-1.6547774245012061,0.8271519075199971,18,45,1.987565594341775,-14.630456382186562,-3.059514562513817,-0.5266661492632017,True,True,True,True
7,7,"[{'long_ratio': 0.52, 'side': 'both', 'target_entries': 63, 'seed': 7}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",63,75027.79051538554,-24972.20948461446,-24.97220948461446,-30.87952303815792,30.87952303815792,1.6349206349206349,52.38095238095239,47.61904761904761,10850.07286850382,33.33333333333333,-396.3842775335626,0.0009590476190476354,-0.0010263492063491773,2.1783976590094647,-3.345979319434451,0.7818559777464893,21,42,1.987565594341775,-13.459227544995711,-2.5298126644641923,-0.4358625464636906,True,True,True,True
8,8,"[{'long_ratio': 0.52, 'side': 'both', 'target_entries': 63, 'seed': 8}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",63,84825.27301933308,-15174.726980666921,-15.17472698066692,-17.52872341276189,17.52872341276189,0.746031746031746,52.38095238095239,47.61904761904761,8616.269361952402,38.095238095238095,-240.86868223280783,0.0009203174603174696,-0.0009107936507936612,2.1311503351465078,-1.5070039593883289,0.793363289604864,24,39,1.987565594341775,-7.946764745656543,-1.746455803496997,-0.4533567310367196,True,True,True,True
9,9,"[{'long_ratio': 0.52, 'side': 'both', 'target_entries': 63, 'seed': 9}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",63,82116.6159389409,-17883.3840610591,-17.883384061059104,-22.21363876338741,22.21363876338741,1.4285714285714286,52.38095238095239,47.61904761904761,7160.715949677958,34.92063492063492,-283.8632390644305,0.0009117460317460166,-0.001000158730158734,1.6752973807597669,-2.057988721133363,0.7791212262852969,22,41,1.987565594341775,-9.437613629351361,-2.0650239805498347,-0.42485671662701496,True,True,True,True
10,10,"[{'long_ratio': 0.52, 'side': 'both', 'target_entries': 63, 'seed': 10}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",22,-310026994983208.8,-310026995083208.8,-310026995083.2088,-304844584269.9473,304844584269.9473,2.227272727272727,50.0,50.0,221447853630712.8,40.909090909090914,-14092136140145.855,0.0012240909090909045,-0.0010459090909090897,300922338739.1242,-100307446247.22394,0.7032102987242844,9,13,1.987565594341775,,-0.8421880349105371,,True,True,True,True
11,11,"[{'long_ratio': 0.52, 'side': 'both', 'target_entries': 63, 'seed': 11}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",63,91938.3592568175,-8061.640743182506,-8.061640743182508,-15.592075268652971,15.592075268652971,2.9365079365079363,52.38095238095239,47.61904761904761,6869.079100675372,41.269841269841265,-127.96255147908721,0.001283492063492052,-0.0009960317460317649,1.6248385657417912,-1.6185246652690206,0.7417310946071672,26,37,1.987565594341775,-4.14071384948429,-0.9080838373942192,-0.26556528096096177,True,True,True,True
12,12,"[{'long_ratio': 0.52, 'side': 'both', 'target_entries': 63, 'seed': 12}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",63,68009.18847702735,-31990.811522972654,-31.99081152297265,-34.11376848088346,34.11376848088346,1.4603174603174602,52.38095238095239,47.61904761904761,10796.925213166134,26.984126984126984,-507.79065909480425,0.0010315873015872927,-0.000955873015873029,2.969729827676516,-2.445778674338366,0.8220433557599576,17,46,1.987565594341775,-17.631708183205618,-3.236046874029034,-0.5168502035501005,True,True,True,True
13,13,"[{'long_ratio': 0.52, 'side': 'both', 'target_entries': 63, 'seed': 13}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",63,78676.35226956717,-21323.64773043283,-21.323647730432825,-23.27433509575483,23.27433509575483,1.1746031746031746,52.38095238095239,47.61904761904761,10030.122158741313,34.92063492063492,-338.4705988957584,0.0009358730158730214,-0.0008666666666666594,2.0678910720341785,-2.1488055006666977,0.7779174244183074,22,41,1.987565594341775,-11.366825633726407,-2.304508522388106,-0.4883845483431096,True,True,True,True
14,14,"[{'long_ratio': 0.52, 'side': 'both', 'target_entries': 63, 'seed': 14}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",63,69607.27766278933,-30392.722337210667,-30.392722337210664,-31.392898159226746,31.392898159226746,1.3333333333333333,52.38095238095239,47.61904761904761,9105.43465401572,26.984126984126984,-482.4241640827091,0.0010460317460317472,-0.0011277777777777822,3.0412749881257346,-2.6741546641745346,0.8495596066135903,17,46,1.987565594341775,-16.663522333891923,-3.367623906777959,-0.530805478658692,True,True,True,True
15,15,"[{'long_ratio': 0.52, 'side': 'both', 'target_entries': 63, 'seed': 15}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",63,67637.11100184375,-32362.888998156253,-32.36288899815626,-33.234549052196826,33.234549052196826,0.6666666666666666,52.38095238095239,47.61904761904761,10881.513023005831,26.984126984126984,-513.696650764384,0.0007723809523809547,-0.0010252380952381047,2.3599191781780897,-3.1000289483106336,0.8272271741441455,17,46,1.987565594341775,-17.858744785548474,-3.342430858845848,-0.5373548098245672,True,True,True,True
