iter,attempt,entry_params,exit_params,trades,final_equity,total_return_%,max_drawdown_%,win_rate_%,profit_factor,avg_R,avg_profit_per_trade,davey_return_worse,davey_maxdd_worse,davey_both_worse,favourable
1,1,"[{'min_rr': 1.0, 'max_rr': 10.0, 'atr_dist_for_liq_generation': 1.0, 'liq_move_away_atr': 3.0}]","{'avg_hold_bars': 75.28571428571429, 'use_structural_stop_sizing': True, 'seed': 1}",69,110718.3525220739,10.718352522073893,-12.709596882561735,52.17391304347826,1.162873103049613,0.15533844234889752,155.33844234889762,True,True,True,True
2,2,"[{'min_rr': 1.0, 'max_rr': 10.0, 'atr_dist_for_liq_generation': 1.0, 'liq_move_away_atr': 3.0}]","{'avg_hold_bars': 75.28571428571429, 'use_structural_stop_sizing': True, 'seed': 2}",70,105142.59346437533,5.1425934643753335,-23.646762932243092,50.0,1.0749680918542919,0.07346562091964705,73.46562091964711,True,True,True,True
3,3,"[{'min_rr': 1.0, 'max_rr': 10.0, 'atr_dist_for_liq_generation': 1.0, 'liq_move_away_atr': 3.0}]","{'avg_hold_bars': 75.28571428571429, 'use_structural_stop_sizing': True, 'seed': 3}",67,130653.37395405657,30.653373954056562,-18.320270620595046,53.73134328358209,1.4821074482518877,0.45751304409039684,457.51304409039665,False,True,False,False
4,4,"[{'min_rr': 1.0, 'max_rr': 10.0, 'atr_dist_for_liq_generation': 1.0, 'liq_move_away_atr': 3.0}]","{'avg_hold_bars': 75.28571428571429, 'use_structural_stop_sizing': True, 'seed': 4}",70,133141.51513019096,33.14151513019097,-7.893769472110234,58.57142857142858,1.5541312775465175,0.4734502161455856,473.4502161455855,False,False,False,False
5,5,"[{'min_rr': 1.0, 'max_rr': 10.0, 'atr_dist_for_liq_generation': 1.0, 'liq_move_away_atr': 3.0}]","{'avg_hold_bars': 75.28571428571429, 'use_structural_stop_sizing': True, 'seed': 5}",69,120747.46292626903,20.747462926269034,-12.238320212344178,53.62318840579711,1.3074962156337722,0.3006878684966526,300.6878684966527,True,True,True,True
6,6,"[{'min_rr': 1.0, 'max_rr': 10.0, 'atr_dist_for_liq_generation': 1.0, 'liq_move_away_atr': 3.0}]","{'avg_hold_bars': 75.28571428571429, 'use_structural_stop_sizing': True, 'seed': 6}",69,121626.63616990765,21.626636169907655,-19.50593206466228,57.971014492753625,1.3053342948496294,0.31342950970880673,313.4295097088067,True,True,True,True
7,7,"[{'min_rr': 1.0, 'max_rr': 10.0, 'atr_dist_for_liq_generation': 1.0, 'liq_move_away_atr': 3.0}]","{'avg_hold_bars': 75.28571428571429, 'use_structural_stop_sizing': True, 'seed': 7}",69,114251.591011355,14.251591011355004,-26.89855414747714,52.17391304347826,1.191510856351149,0.2065447972660145,206.54479726601457,True,True,True,True
8,8,"[{'min_rr': 1.0, 'max_rr': 10.0, 'atr_dist_for_liq_generation': 1.0, 'liq_move_away_atr': 3.0}]","{'avg_hold_bars': 75.28571428571429, 'use_structural_stop_sizing': True, 'seed': 8}",67,126423.49671229007,26.423496712290074,-20.819339409257896,53.73134328358209,1.4523380305091589,0.3943805479446271,394.38054794462715,True,True,True,True
9,9,"[{'min_rr': 1.0, 'max_rr': 10.0, 'atr_dist_for_liq_generation': 1.0, 'liq_move_away_atr': 3.0}]","{'avg_hold_bars': 75.28571428571429, 'use_structural_stop_sizing': True, 'seed': 9}",67,133649.84440046677,33.64984440046677,-16.01775933720052,58.2089552238806,1.4661235500175689,0.5022364835890561,502.23648358905604,False,True,False,False
10,10,"[{'min_rr': 1.0, 'max_rr': 10.0, 'atr_dist_for_liq_generation': 1.0, 'liq_move_away_atr': 3.0}]","{'avg_hold_bars': 75.28571428571429, 'use_structural_stop_sizing': True, 'seed': 10}",66,120704.5658412898,20.704565841289813,-20.155532541380094,48.484848484848484,1.277876127347708,0.3137055430498459,313.70554304984586,True,True,True,True
11,11,"[{'min_rr': 1.0, 'max_rr': 10.0, 'atr_dist_for_liq_generation': 1.0, 'liq_move_away_atr': 3.0}]","{'avg_hold_bars': 75.28571428571429, 'use_structural_stop_sizing': True, 'seed': 11}",67,140172.61562504634,40.17261562504635,-9.262042690045135,59.70149253731343,1.8073847611693885,0.5995912779857663,599.5912779857663,False,True,False,False
