iter,attempt,entry_params,exit_params,trades,final_equity,total_return_%,max_drawdown_%,win_rate_%,profit_factor,avg_R,avg_profit_per_trade,favourable
1,1,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 1.0}]",{'hold_bars': 1},74,95050.22211298603,-4.949777887013973,-7.9722884312393045,37.83783783783784,0.6937547748466691,-0.06709641067834583,-66.88889036505427,False
2,2,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 1.0}]",{'hold_bars': 2},74,92468.5813099906,-7.5314186900094064,-11.376678893229608,33.78378378378378,0.6374487296686144,-0.10288044635076399,-101.77592824337,False
3,3,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 1.0}]",{'hold_bars': 3},74,92184.04933111688,-7.81595066888312,-12.441498570442844,41.891891891891895,0.6562401509499931,-0.10674295421613442,-105.6209549849072,False
4,4,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 1.0}]",{'hold_bars': 4},74,92885.73177777114,-7.1142682222288585,-11.072155838563258,39.189189189189186,0.7082245129011819,-0.09584952494960444,-96.13875975984946,False
5,5,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 1.0}]",{'hold_bars': 5},74,90606.56029503037,-9.39343970496963,-14.038027334742843,48.64864864864865,0.666224202501676,-0.12854403872623832,-126.9383743914812,False
6,6,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 1.5}]",{'hold_bars': 1},71,95598.29492366545,-4.40170507633455,-7.397266543008419,38.028169014084504,0.717886257436739,-0.06184840270794321,-61.995846145557124,False
7,7,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 1.5}]",{'hold_bars': 2},71,92733.41203975784,-7.266587960242166,-11.037636364511838,33.80281690140845,0.6446723438879159,-0.1032052760571952,-102.34630929918528,False
8,8,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 1.5}]",{'hold_bars': 3},71,92927.90120088981,-7.072098799110183,-11.680561239535592,42.25352112676056,0.6790278627529694,-0.09998038777000723,-99.6070253395797,False
9,9,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 1.5}]",{'hold_bars': 4},71,93144.0958017551,-6.8559041982449,-10.824800779588884,40.845070422535215,0.7161371433896601,-0.0959894392187126,-96.56203096119452,False
10,10,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 1.5}]",{'hold_bars': 5},71,90266.69556295626,-9.733304437043744,-14.360470242997048,47.88732394366197,0.6532202854684026,-0.13927432147580734,-137.0887948879403,False
