iter,attempt,entry_params,exit_params,trades,final_equity,total_return_%,max_drawdown_%,win_rate_%,profit_factor,avg_R,avg_profit_per_trade,favourable
1,1,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 1.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",73,112996.25474213217,12.996254742132173,-6.539353368914402,47.94520547945205,1.3349611272966384,0.17529680365293493,178.03088687852232,True
2,2,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 1.25}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",72,114164.53851964993,14.164538519649916,-6.539353368914402,48.61111111111111,1.374068532131374,0.19194444444441097,196.729701661804,True
3,3,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 1.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",71,112503.24066581808,12.503240665818094,-6.539353368914402,47.88732394366197,1.330195641478863,0.17384976525818288,176.10198120870479,True
4,4,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 1.75}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",72,114164.53851964993,14.164538519649916,-6.539353368914402,48.61111111111111,1.374068532131374,0.19194444444441097,196.729701661804,True
5,5,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 2.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",68,116029.00335229875,16.029003352298755,-6.539353368914402,50.0,1.454917903194512,0.22666666666663252,235.72063753380525,True
6,6,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 2.25}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",68,116029.00335229875,16.029003352298755,-6.539353368914402,50.0,1.454917903194512,0.22666666666663252,235.72063753380525,True
7,7,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 2.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",65,113841.69472855188,13.841694728551879,-7.495767319439183,49.23076923076923,1.407515627602653,0.20743589743586363,212.94914967002904,True
8,8,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 2.75}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",63,110552.60141404078,10.552601414040774,-7.495767319439195,47.61904761904761,1.3168311380222724,0.16714285714282423,167.5016097466793,True
9,9,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 3.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",61,112850.45626033333,12.850456260333342,-7.495767319439195,49.18032786885246,1.4108760710887176,0.2061748633879444,210.6632173825135,True
10,10,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 3.25}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",58,113519.76390145131,13.51976390145131,-7.495767319439195,50.0,1.4605489605669337,0.22666666666663243,233.09937761122958,True
11,11,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 3.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",59,109590.00162540867,9.59000162540866,-8.064121260687662,47.45762711864407,1.3121565994304747,0.16310734463273552,162.54240043065477,True
12,12,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 3.75}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",53,113694.80537992086,13.69480537992085,-8.841869053088535,50.943396226415096,1.5212978242980653,0.25025157232700934,258.3925543381284,True
13,13,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 4.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",52,117771.76085521336,17.77176085521337,-7.899372633033231,53.84615384615385,1.7258660439104525,0.3228205128204766,341.76463183102567,True
14,14,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 4.25}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",56,107524.07716940115,7.5240771694011555,-8.46524678861089,46.42857142857143,1.250815643550072,0.13738095238092007,134.3585208821632,True
15,15,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 4.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",55,108635.78335237384,8.635783352373828,-7.518856419301734,47.27272727272727,1.2952385765642522,0.1584848484848158,157.01424277043222,True
